Ticket,Fare,Cabin
A/5 21171,7.25,
PC 17599,71.2833,C85
STON/O2. 3101282,7.925,
113803,53.1,C123
373450,8.05,
330877,8.4583,
17463,51.8625,E46
349909,21.075,
347742,11.1333,
237736,30.0708,
PP 9549,16.7,G6
113783,26.55,C103
A/5. 2151,8.05,
347082,31.275,
350406,7.8542,
248706,16.0,
382652,29.125,
244373,13.0,
345763,18.0,
2649,7.225,
239865,26.0,
248698,13.0,D56
330923,8.0292,
113788,35.5,A6
349909,21.075,
347077,31.3875,
2631,7.225,
19950,263.0,C23 C25 C27
330959,7.8792,
349216,7.8958,
PC 17601,27.7208,
PC 17569,146.5208,B78
335677,7.75,
C.A. 24579,10.5,
PC 17604,82.1708,
113789,52.0,
2677,7.2292,
A./5. 2152,8.05,
345764,18.0,
2651,11.2417,
7546,9.475,
11668,21.0,
349253,7.8958,
SC/Paris 2123,41.5792,
330958,7.8792,
S.C./A.4. 23567,8.05,
370371,15.5,
14311,7.75,
2662,21.6792,
349237,17.8,
3101295,39.6875,
A/4. 39886,7.8,
PC 17572,76.7292,D33
2926,26.0,
113509,61.9792,B30
19947,35.5,C52
C.A. 31026,10.5,
2697,7.2292,
C.A. 34651,27.75,
CA 2144,46.9,
2669,7.2292,
113572,80.0,B28
36973,83.475,C83
347088,27.9,
PC 17605,27.7208,
2661,15.2458,
C.A. 29395,10.5,F33
S.P. 3464,8.1583,
3101281,7.925,
315151,8.6625,
C.A. 33111,10.5,
CA 2144,46.9,
S.O.C. 14879,73.5,
2680,14.4542,
1601,56.4958,
348123,7.65,F G73
349208,7.8958,
374746,8.05,
248738,29.0,
364516,12.475,
345767,9.0,
345779,9.5,
330932,7.7875,
113059,47.1,
SO/C 14885,10.5,
3101278,15.85,
W./C. 6608,34.375,
SOTON/OQ 392086,8.05,
19950,263.0,C23 C25 C27
343275,8.05,
343276,8.05,
347466,7.8542,
W.E.P. 5734,61.175,E31
C.A. 2315,20.575,
364500,7.25,
374910,8.05,
PC 17754,34.6542,A5
PC 17759,63.3583,D10 D12
231919,23.0,
244367,26.0,
349245,7.8958,
349215,7.8958,
35281,77.2875,D26
7540,8.6542,
3101276,7.925,
349207,7.8958,
343120,7.65,
312991,7.775,
349249,7.8958,
371110,24.15,
110465,52.0,C110
2665,14.4542,
324669,8.05,
4136,9.825,
2627,14.4583,
STON/O 2. 3101294,7.925,
370369,7.75,
11668,21.0,
PC 17558,247.5208,B58 B60
347082,31.275,
S.O.C. 14879,73.5,
A4. 54510,8.05,
237736,30.0708,
27267,13.0,E101
35281,77.2875,D26
2651,11.2417,
370372,7.75,
C 17369,7.1417,
2668,22.3583,F E69
347061,6.975,
349241,7.8958,
SOTON/O.Q. 3101307,7.05,
A/5. 3337,14.5,
228414,26.0,
C.A. 29178,13.0,
SC/PARIS 2133,15.0458,
11752,26.2833,D47
113803,53.1,C123
7534,9.2167,
PC 17593,79.2,B86
2678,15.2458,
347081,7.75,
STON/O2. 3101279,15.85,
365222,6.75,
231945,11.5,
C.A. 33112,36.75,
350043,7.7958,
W./C. 6608,34.375,
230080,26.0,F2
244310,13.0,
S.O.P. 1166,12.525,
113776,66.6,C2
A.5. 11206,8.05,
A/5. 851,14.5,
Fa 265302,7.3125,
PC 17597,61.3792,
35851,7.7333,
SOTON/OQ 392090,8.05,
315037,8.6625,
CA. 2343,69.55,
371362,16.1,
C.A. 33595,15.75,
347068,7.775,
315093,8.6625,
3101295,39.6875,
363291,20.525,
113505,55.0,E33
347088,27.9,
PC 17318,25.925,
1601,56.4958,
111240,33.5,B19
382652,29.125,
347742,11.1333,
STON/O 2. 3101280,7.925,
17764,30.6958,A7
350404,7.8542,
4133,25.4667,
PC 17595,28.7125,C49
250653,13.0,
LINE,0.0,
CA. 2343,69.55,
SC/PARIS 2131,15.05,
347077,31.3875,
230136,39.0,F4
315153,22.025,
113767,50.0,A32
370365,15.5,
111428,26.55,
364849,15.5,
349247,7.8958,
234604,13.0,
28424,13.0,
350046,7.8542,
230080,26.0,F2
PC 17610,27.7208,B4
PC 17569,146.5208,B80
368703,7.75,
4579,8.4042,
370370,7.75,
248747,13.0,
345770,9.5,
CA. 2343,69.55,
3101264,6.4958,
2628,7.225,
A/5 3540,8.05,
347054,10.4625,G6
3101278,15.85,
2699,18.7875,
367231,7.75,
112277,31.0,A31
SOTON/O.Q. 3101311,7.05,
F.C.C. 13528,21.0,
A/5 21174,7.25,
250646,13.0,
367229,7.75,
35273,113.275,D36
STON/O2. 3101283,7.925,
243847,27.0,
11813,76.2917,D15
W/C 14208,10.5,
SOTON/OQ 392089,8.05,
220367,13.0,
21440,8.05,
349234,7.8958,
19943,90.0,C93
PP 4348,9.35,
SW/PP 751,10.5,
A/5 21173,7.25,
236171,13.0,
4133,25.4667,
36973,83.475,C83
347067,7.775,
237442,13.5,
347077,31.3875,
C.A. 29566,10.5,
W./C. 6609,7.55,
26707,26.0,
C.A. 31921,26.25,
28665,10.5,
SCO/W 1585,12.275,
2665,14.4542,
367230,15.5,
W./C. 14263,10.5,
STON/O 2. 3101275,7.125,
2694,7.225,
19928,90.0,C78
347071,7.775,
250649,14.5,
11751,52.5542,D35
244252,26.0,
362316,7.25,
347054,10.4625,G6
113514,26.55,C87
A/5. 3336,16.1,
370129,20.2125,
2650,15.2458,
